"OBJECTID,N,9,0","SEG_NAME,C,100","SEG_CODE,N,9,0","ONS_FORM,C,5","ONS_COM,C,100","BAK_FORM,C,5","BAK_ELEV,N,15,11","BAK_EL_DQ,C,5","BAK_MAT1,C,5","BAK_MAT2,C,5","BAK_COM,C,100","SHO_FORM,C,5","BEA_FORM,C,5","SHO_MAT1,C,5","SHO_MAT2,C,5","SHO_COM,C,100","DEP_CLOS,N,13,11","ISO_2M,N,17,11","ISO_5M,N,17,11","ISO_10M,N,17,11","ISO_100M,N,19,11","OFF_MAT,C,5","ICE1,C,5","ICE2,N,14,11","ICE2_DQ,C,5","ICE_COM,C,100","RATE,N,15,11","RATE_INT,C,50","RATE_DQ,C,5","DYN_PROC,C,5","BULK_DEN,N,13,11","BULKD_DQ,C,5","OC,N,14,11","OC_DQ,C,5","SOC,N,15,11","SOC_DQ,C,5","SOURCES,C,100","COMMENTS,C,100","COM_DQ,C,100","CONTACT,C,50","MAPPERS,C,100","SEA_NAME,C,50","SEA_CODE,N,9,0","SEG_NO,N,9,0","OLD_NO,N,9,0","SEG_COM,C,100","SHAPE_LENG,N,19,11","SHAPE_AREA,N,19,11"
1,Singeak,120060,l,lowland,,4.50000000000,h,u,s,exposed unlithified coast,b,f,u,s,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,s,m,25.00000000000,l,,-0.75000000000,37 years,h,s,1.20000000000,l,4.00000000000,l,173.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,60,6,'carbon and ice profiles roughly estimated',1.50633700763,0.04675963670
2,C. Espenburg Strand Plain,120070,l,lowland,,5.00000000000,h,u,ms,accretionary beach ridges and transgressive dunes,b,f,u,s,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,s,p,2.00000000000,l,,-0.30000000000,37 years,h,es,1.40000000000,l,0.50000000000,l,35.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,70,7,"'erosion rate, carbon and ice profiles roughly estimated'",1.16785746895,0.04391673115
3,C. Espenburg Lagoon,120080,ld,lowland/delta,,2.00000000000,m,u,mso,lagoon,b,f,u,sm,,0.00000000000,50.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,m,m,25.00000000000,l,,0.50000000000,37 years,m,e,0.80000000000,l,8.00000000000,l,102.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,80,8,"'erosion rate, carbon and ice profiles roughly estimated'",1.01240501576,0.03393495374
4,Espenburg Lowland,120090,l,lowland,,3.20000000000,h,u,mo,exposed unlithified coast,b,f,u,s,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,ms,m,25.00000000000,l,,-0.60000000000,37 years,h,es,1.20000000000,l,4.00000000000,l,123.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,90,9,'carbon and ice profiles roughly estimated',2.24486262937,0.11080202468
5,Good Hope River Delta,120100,ld,lowland/delta,,0.50000000000,h,u,m,delta,x,f,u,sm,,0.00000000000,300.00000000000,3000.00000000000,5000.00000000000,500000.00000000000,msg,l,6.00000000000,l,,-0.50000000000,37 years,m,s,1.40000000000,l,2.00000000000,l,13.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,100,10,"'erosion rate, carbon and ice profiles roughly estimated'",0.43396691395,0.00811236603
6,Sullivan Bluffs,120110,u,upland,,10.00000000000,l,l,,exposed rocky coast,b,f,u,sg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,msg,p,0.00000000000,l,,0.00000000000,37 years,m,s,2.00000000000,l,0.01000000000,l,2.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,110,11,'carbon and ice profiles roughly estimated',0.89904820230,0.02912795655
7,Sullivan Creek,120120,ld,lowland/spit/delta,,3.00000000000,m,,s,seasonal spit built across creek mouth,b,s,u,sg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,msg,p,2.00000000000,l,,0.50000000000,37 years,m,s,1.40000000000,l,2.00000000000,l,83.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,120,12,"'erosion rate, carbon and ice profiles roughly estimated'",0.64074364696,0.01758825865
8,Enmakay Cape - Etakun Mounta,100010,,,,4.00000000000,l,l,,,b,,,sg,"Lagoons, barrier islands, spit",0.00000000000,300.00000000000,500.00000000000,1100.00000000000,643000.00000000000,,l,10.00000000000,l,,0.00000000000,,l,a,1.70000000000,l,0.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,10,10,6,"Sand, gravel, pebble",4.05838889683,0.17357226123
9,Yakan Cape - Enmakay Cape,100020,,,,10.00000000000,l,l,,,c,,,s,"Thermo abrasion cliffs, lagoon",0.00000000000,200.00000000000,400.00000000000,1000.00000000000,515000.00000000000,,m,40.00000000000,l,,2.50000000000,,l,e,1.40000000000,l,3.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,10,20,5,"Loamy sand,sand, silt, gravel",1.92842740232,0.06202444857
10,Uelen Cape - Dezhnev Cape,110010,,,,110.00000000000,l,l,,,c,,,gs,"Rock cliffs, pebble beachs",0.00000000000,50.00000000000,100.00000000000,300.00000000000,0.00000000000,,p,0.00000000000,l,,0.00200000000,,l,e,0.20000000000,l,2.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,10,31,"Rock, pebble, gravel, sand",1.00570658180,0.04134802948
11,Irgutunnen Cape - Uelen Cape,110020,,,,2.00000000000,l,l,,,b,,,sg,"Barrier island, spit, lagoon",0.00000000000,50.00000000000,100.00000000000,500.00000000000,0.00000000000,,l,5.00000000000,l,,0.00000000000,,l,a,1.70000000000,l,0.10000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,20,30,"Sand, gravel, pebble",0.97249615737,0.02925549536
12,Inchoun Cape - Irgutunnen Cape,110030,,,,120.00000000000,l,l,,,c,,,g,Rocky cliffs,0.00000000000,50.00000000000,100.00000000000,500.00000000000,0.00000000000,,p,1.00000000000,l,,0.00500000000,,l,e,2.00000000000,l,0.10000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,30,29,"Rock, pebble beachs",0.79252457141,0.02500939345
13,Uniken Cape - Inchoun Cape,110040,,,,1.00000000000,l,l,,,b,,,sg,"Lagoons, barrier islands, spits",0.00000000000,50.00000000000,100.00000000000,500.00000000000,0.00000000000,,l,10.00000000000,l,,0.00000000000,,l,a,1.70000000000,l,0.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,40,28,"Loamy sand, sand, gravel",1.00186889653,0.02706734814
14,Ninvyran Cape - Uniken Cape,110050,,,,50.00000000000,l,l,,,c,,,gs,"Rocky cliffs, pebble beachs",0.00000000000,100.00000000000,200.00000000000,600.00000000000,0.00000000000,,p,1.00000000000,l,,0.01000000000,,l,e,2.00000000000,l,0.10000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,50,27,"Rock, crushed stone, pebble, sand",3.19714158375,0.13563376031
15,Netteveem River Mouth - Ninvyran Cape,110060,,,,14.00000000000,l,l,,,x,,,sg,"Cliffs, sand banks,  beachs",0.00000000000,100.00000000000,200.00000000000,600.00000000000,0.00000000000,,l,15.00000000000,l,,0.50000000000,,l,e,1.70000000000,l,1.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,60,26,"Loamy sand, sand, gravel",0.86009483700,0.02199241379
16,Jenretlen Cape - Netteveem Ricer Mouth,110070,,,,7.00000000000,l,l,,,b,,,sg,"Barrier islands, spits, lagoon",0.00000000000,100.00000000000,150.00000000000,900.00000000000,0.00000000000,,l,15.00000000000,l,,0.00000000000,,l,a,1.60000000000,l,0.80000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,70,25,"Loamy sand, gravel, pebble",3.65082906776,0.12623896052
17,Belyaka Lagoon - Jenretlen Cape,110080,,,,12.00000000000,l,u,,,x,,,sg,"Termo abrasion cliffs, sand bars",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,15.00000000000,l,,1.00000000000,,l,e,1.60000000000,l,1.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,80,24,"Loamy sand, gravel, pebble",1.18840598124,0.03645645153
18,Notatken Cape - Belyaka Lagoon,110090,,,,6.00000000000,l,u,,,b,,,sg,"Spits, sand banks, lagoons",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,10.00000000000,l,,0.00000000000,,l,a,1.60000000000,l,1.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,90,23,"Sand, gravel, pebble, silt",1.15943834422,0.05292994411
19,Ecmygen Cape - Notatken Cape,110100,,,,16.00000000000,l,u,,,x,,,sg,"Termo abrasion cliffs, spits,",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,15.00000000000,l,,0.20000000000,,l,e,1.70000000000,l,2.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,100,22,"Loamy sand, sand, gravel, pebb",1.63251079149,0.08060572304
20,Anayan Cape - Ecmygen Cape,110110,,,,1.00000000000,l,u,,,b,,,sg,"Spits, sand banks",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,15.00000000000,l,,0.00000000000,,l,s,1.50000000000,l,1.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,110,21,"Loamy sand, sand, gravel, pebb",1.17554741644,0.04352513445
21,Eshmishevouvaan River Mouth - Anayan Cape,110120,,,,2.00000000000,l,u,,,x,,,sg,"Small deltas, spits, thermo abrasion cliffs",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,10.00000000000,l,,0.30000000000,,l,a,1.50000000000,l,0.40000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,120,20,"Sand, gravel, pebble, loamy sa",1.17245070847,0.04232786524
22,Ioniveem River Mouth - Eshmishevouvaan River Mouth,110130,,,,1.00000000000,l,u,,,b,,,s,Delta,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,10.00000000000,l,,0.00000000000,,l,a,1.50000000000,l,1.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,130,19,Silty sand,1.32489884426,0.07032509042
23,Nuteikvin Cape - Ioniveem River mouth,110140,,,,5.00000000000,l,u,,,x,,,sg,"Sand banks, small deltas, thermoabrasion cliffs",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,15.00000000000,l,,0.70000000000,,l,s,1.60000000000,l,0.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,140,18,"Loami sand, sand, gravel",1.05762187017,0.04764765940
24,Kainyn Cape - Nuteikvin Cape,110150,,,,2.00000000000,l,u,,,x,,,sg,"Small deltas, spits, thermo abrasion cliffs",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,10.00000000000,l,,0.00000000000,,l,a,1.60000000000,l,0.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,150,17,"Loamy sand, gravel, pebble",1.18140064698,0.07423744856
25,Eturerveen River Mouth - Kainyn Cape,110160,,,,8.00000000000,l,u,,,c,,,sg,Termo abrasion cliffs,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,m,40.00000000000,l,,1.00000000000,,l,e,1.40000000000,l,2.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,160,16,"Loamy sand, gravel, pebble",0.82190274635,0.02105654355
26,Kukenliveem River Mouth - Eturerveen River Mouth,110170,,,,1.00000000000,l,u,,,b,,,sg,Small deltas,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,10.00000000000,l,,0.00000000000,,l,a,1.50000000000,l,2.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,170,15,"Loamy sand, silty sand, gravel",0.88997813690,0.03092124791
27,Kaurkalen Cape - Kukenliveem River Mouth,110180,,,,7.00000000000,l,u,,,c,,,sg,Thermo abrasion and abrasion cliffs,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,20.00000000000,l,,1.60000000000,,l,e,1.60000000000,l,1.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,180,14,"Loamy sand, silty sand, gravel",1.46267697122,0.06290632768
28,Vaapalen Cape - Kaurkalen Cape,110190,,,,15.00000000000,l,u,,,c,,,s,Thermo abrasion cliffs,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,m,25.00000000000,l,,1.00000000000,,l,e,1.40000000000,l,1.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,190,13,"Loam, sand",0.68868573525,0.01280539331
29,Implin Cape - Vaapalen Cape,110200,,,,1.00000000000,l,u,,,b,,,sg,"Lagoons, barrier islands, spit",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,7.00000000000,l,,0.05000000000,,l,a,1.60000000000,l,1.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,200,12,"Sand, gravel, pebble",1.38252118842,0.10188228682
30,Colyuchin Isdlang,110210,,,,50.00000000000,l,u,,,c,,,g,"Abrasion cliffs, rocks",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,p,2.00000000000,l,,0.02000000000,,l,e,2.00000000000,l,0.10000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,210,11,"Rock, pebble beachs",0.57482779351,0.01875753872
31,Vatan Cape - Implin Cape,110220,,,,30.00000000000,l,u,,,c,,,sg,"Cliffs, rocks",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,l,5.00000000000,l,,0.20000000000,,l,e,1.80000000000,l,0.10000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,220,10,"Loamy sand, rock, pebble beach",2.17723135150,0.09555490607
32,Lena Island - Vatan Cape,110230,,,,5.00000000000,l,u,,,b,,,sg,"Deltas, lagoons, spits",0.00000000000,0.00000000000,0.00000000000,0.00000000000,742000.00000000000,,l,10.00000000000,l,,1.00000000000,,l,a,1.60000000000,l,1.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,230,9,"Sand, silt, pebble, gravel",5.47353864814,0.26942885000
33,Raneikal Cape -   Lena Island,110240,,,,3.00000000000,l,u,,,x,,,sg,"Cliffs, lagoons, spits, small",0.00000000000,0.00000000000,0.00000000000,0.00000000000,770000.00000000000,,l,10.00000000000,l,,0.00000000000,,l,a,1.70000000000,l,3.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,240,8,"Sand, gravel, pebble",4.94310342808,0.31769858617
34,Etakun Mountain - Raneikal Cape,110250,,,,25.00000000000,l,u,,,c,,,sg,Cliffs,0.00000000000,0.00000000000,0.00000000000,0.00000000000,643000.00000000000,,l,20.00000000000,l,,0.40000000000,,l,e,1.70000000000,l,1.00000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,250,7,"Loam, sand, gravel, pebble, ro",0.63601703884,0.01710528379
35,Enmakay Cape - Etakun Mountain,110260,,,,4.00000000000,l,u,,,b,,,sg,"Lagoons, barrier islands, spits",0.00000000000,300.00000000000,500.00000000000,1100.00000000000,0.00000000000,,l,10.00000000000,l,,0.00000000000,,l,a,1.70000000000,l,0.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,260,6,"Sand, gravel, pebble",0.91384948642,0.02972001881
36,Garold Island,110300,,,,100.00000000000,l,l,,,c,,,g,"Abrasion cliffs, pebble beachs",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,p,1.00000000000,l,,0.00200000000,,l,e,2.00000000000,l,0.05000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,300,4,Rocks,1.06703805603,0.04124367109
37,Vrangel Island: Rogers Bay - Belousov Cape,110310,,,,13.00000000000,l,l,,,c,,,sg,Rocky and thermo abrasion cliffs,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,m,30.00000000000,l,,0.50000000000,,l,e,1.60000000000,l,0.50000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,310,3,"Sand, loamy sand, pebble,",1.99328406455,0.07815898562
38,Vrangel Island: Liyke Cape -Rogers Bay,110320,,,,75.00000000000,l,l,,,c,,,g,Erosion rocky cliffs,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,p,2.00000000000,l,,0.05000000000,,l,e,2.00000000000,l,0.10000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,320,2,Rock,3.87340644829,0.13981883210
39,Vrangel Island: Ushakova Cape - Liyke Cape,110330,,,,10.00000000000,l,u,,,x,,,sg,"Cliffs, lagoons, spits, small",0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,m,30.00000000000,l,,0.20000000000,,l,a,1.60000000000,l,0.75000000000,l,0.00000000000,,,,,Mikhail Grigoriev,"Mikhail Grigoriev, Sergey Sedenko, Hugues Lantuit",Chukchi Sea,11,330,1,"Sand, silt, pebble, gravel",6.04906958169,0.30079688716
40,Cape Prince of Wales,120010,u,upland,,20.00000000000,l,l,,exposed rocky coast,b,f,u,sg,,0.00000000000,5.00000000000,20.00000000000,1200.00000000000,500000.00000000000,s,p,1.00000000000,l,,0.00000000000,37 years,m,s,2.00000000000,l,0.01000000000,l,4.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,10,1,'carbon and ice profiles roughly estimated',1.19708898496,0.04188492458
41,Mitletok,120020,l,lowland,,5.00000000000,l,u,s,accretionary beach ridges and transgressive dunes,b,f,u,s,,0.00000000000,10.00000000000,1000.00000000000,6000.00000000000,500000.00000000000,s,p,2.00000000000,l,,-0.80000000000,37 years,m,es,1.40000000000,l,0.50000000000,l,35.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,20,2,'carbon and ice profiles roughly estimated',1.87794474214,0.11481478633
42,Ikpik,120030,l,lowland,,1.50000000000,h,u,s,exposed unlithified coast,b,f,u,s,,0.00000000000,10.00000000000,30.00000000000,6000.00000000000,500000.00000000000,s,m,25.00000000000,l,,0.00000000000,37 years,m,s,1.20000000000,l,6.00000000000,l,86.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,30,3,"'erosion rate, carbon and ice profiles roughly estimated'",0.93984963912,0.02189035566
43,Shishmaref Barrier Islands,120040,l,barrier island,,4.00000000000,h,u,s,barrier islands,b,b,u,s,,0.00000000000,10.00000000000,30.00000000000,6000.00000000000,500000.00000000000,smg,p,2.00000000000,l,,-1.20000000000,50 years,h,es,1.40000000000,l,0.50000000000,l,28.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,40,4,'carbon and ice profiles roughly estimated',5.42544151278,0.17738440196
44,Shishmaref Inlet,120050,lu,lowland/upland,,4.00000000000,h,u,smo,lagoon,b,f,u,sm,,0.00000000000,10.00000000000,1000.00000000000,6000.00000000000,500000.00000000000,m,m,25.00000000000,l,,1.00000000000,37 years,h,e,0.80000000000,l,6.00000000000,l,154.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,50,5,"'erosion rate, carbon and ice profiles roughly estimated'",7.44009679345,0.27122359419
45,Cape Deceit,120130,u,upland,,10.00000000000,l,l,,exposed rocky coast,b,f,u,sg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,msg,p,0.00000000000,l,,0.00000000000,37 years,m,s,2.00000000000,l,0.01000000000,l,2.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,130,13,'carbon and ice profiles roughly estimated',0.94631650304,0.02931519769
46,Deering Beach,120140,l,lowland/spit,,3.40000000000,h,u,s,accretionary barrier spit,b,s,u,sg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,msg,p,2.00000000000,l,,-0.50000000000,37 years,m,es,1.40000000000,l,0.50000000000,l,24.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,140,14,"'erosion rate, carbon and ice profiles roughly estimated'",0.38697985661,0.00686513333
47,Deering Hills,120150,u,upland,,10.00000000000,l,l,,exposed rocky coast,b,f,u,sg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,msg,p,0.00000000000,l,,0.00000000000,37 years,m,s,2.00000000000,l,0.01000000000,l,2.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,150,15,'carbon and ice profiles roughly estimated',0.37713160220,0.00414696906
48,Kugruk Lagoon,120160,ld,lowland/spit/delta,,2.80000000000,h,u,ms,lagoon,b,s,u,msg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,msg,m,25.00000000000,l,,0.30000000000,37 years,h,e,0.80000000000,l,8.00000000000,l,143.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,160,16,"'erosion rate, carbon and ice profiles roughly estimated'",0.55182161572,0.01257461321
49,Willow Bay,120170,u,upland,,10.00000000000,l,l,,exposed rocky coast,b,f,u,sg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,msg,p,0.00000000000,l,,0.00000000000,37 years,m,s,2.00000000000,l,0.01000000000,l,2.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,170,17,'carbon and ice profiles roughly estimated',1.57667205623,0.05834095906
50,Kiwalik Lagoon,120180,ld,lowland/spit/delta,,2.50000000000,h,u,ms,lagoon,b,s,u,sg,,0.00000000000,50.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,msg,m,25.00000000000,l,,0.50000000000,37 years,l,e,0.80000000000,l,8.00000000000,l,128.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,180,18,"'erosion rate, carbon and ice profiles roughly estimated'",0.86547551900,0.03635163341
51,Kiwalik Hills,120190,u,upland,,5.00000000000,l,l,,exposed unlithified coast,b,f,u,sg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,msg,m,30.00000000000,l,,0.30000000000,37 years,l,e,1.60000000000,l,1.00000000000,l,64.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,190,19,"'erosion rate, carbon and ice profiles roughly estimated'",0.93144928244,0.03621591387
52,Eschscholtz Bay,120200,c,complex,,1.00000000000,m,u,mso,bay/inlet,b,f,u,msg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,ms,h,60.00000000000,l,,0.50000000000,37 years,l,e,1.40000000000,l,8.00000000000,l,67.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,200,20,"'erosion rate, carbon and ice profiles roughly estimated'",3.43520848870,0.16031054870
53,Choris Peninsula,120210,l,lowland/spit,,4.00000000000,m,u,sg,sg,b,f,u,sg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,sg,l,6.00000000000,l,,-0.30000000000,37 years,l,s,1.40000000000,l,1.00000000000,l,53.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,210,21,"'erosion rate, carbon and ice profiles roughly estimated'",0.78941915997,0.03236243449
54,Baldwin Peninsula,120220,l,lowland,,8.00000000000,m,u,d,diamict,b,f,u,msg,,0.00000000000,10.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,sgm,l,15.00000000000,l,,-0.30000000000,37 years,m,e,1.60000000000,l,0.50000000000,l,58.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,220,22,"'erosion rate, carbon and ice profiles roughly estimated'",2.50399611379,0.10277287515
55,Kotezbue,120230,l,lowland/spit,,3.30000000000,m,u,sg,lagoon,b,f,u,sg,,0.00000000000,50.00000000000,2000.00000000000,5000.00000000000,500000.00000000000,sg,m,25.00000000000,l,,0.30000000000,37 years,m,e,0.80000000000,l,6.00000000000,l,127.00000000000,l,,,,Jim Jordan,"Torre Jorgenson, Frits Steenhuisen, Hugues Lantuit",US Chukchi Sea,12,230,23,"'erosion rate, carbon and ice profiles roughly estimated'",0.61307139938,0.01693433644
